id,time,replicate_1,replicate_2,replicate_3
droso_4840,16.5,2.864043,3.0431662,3.0838864
droso_4840,16.6,3.0900798,2.1111395,3.0600753
droso_4840,16.7,2.5933719,3.0481787,3.07882
droso_4840,16.8,2.2338328,2.9431133,2.9254866
droso_4840,16.900000000000002,3.077529,3.0703123,3.1662416
droso_4840,17.0,2.486586,3.0184968,2.964667
droso_4840,17.1,2.9600606,3.4647686,3.0715477
droso_4840,17.2,2.807549,3.4383507,3.3208776
droso_4840,17.3,2.8977282,3.6967075,3.1675866
droso_4840,17.400000000000002,2.6652167,2.818835,3.7132738
droso_4840,17.5,2.4000607,2.9726334,2.9775126
droso_4840,17.6,3.1024282,2.2160926,2.7437425
droso_4840,17.7,3.0203757,2.00892,2.5103626
droso_4840,17.8,3.0935466,2.31765,2.5671234
droso_4840,17.900000000000002,2.7712977,2.1455882,2.193226
droso_4840,18.0,2.7449014,2.571124,2.4465415
droso_4840,18.1,3.5011063,2.150178,2.433767
droso_4840,18.2,3.3576741,1.9005697,2.6397297
droso_4840,18.3,3.1244116,2.0161655,2.462028
droso_4840,18.400000000000002,2.6396956,2.0867584,2.42405
droso_4840,18.5,2.3533716,2.4614544,2.5727935
droso_4840,18.6,2.0294042,2.742855,2.3002262
droso_4840,18.7,2.5997362,2.7574406,2.3234227
droso_4840,18.8,2.485929,2.266626,2.283185
droso_4840,18.900000000000002,2.3557918,2.429237,2.611376
droso_4840,19.0,2.1919558,2.0023112,2.6934814
droso_4840,19.1,2.654784,2.3406792,2.282616
droso_4840,19.200000000000003,2.610114,2.2667487,2.786503
droso_4840,19.3,2.5390716,2.9378338,2.5658689
droso_4840,19.400000000000002,3.0935004,2.636508,2.6337736
droso_4840,19.5,3.1420646,2.4197814,2.4686084
droso_4840,19.6,2.9942055,2.5535417,2.3943176
droso_4840,19.700000000000003,2.5896032,2.2657695,2.4745646
droso_4840,19.8,2.986398,2.4341896,2.7254124
droso_4840,19.900000000000002,2.8778496,2.2722816,2.3837113
droso_4840,20.0,2.620389,2.4493036,2.523516
droso_4840,20.1,2.9440005,2.115752,2.5614123
droso_4840,20.200000000000003,3.0307655,2.2428734,2.6726873
droso_4840,20.3,2.7591631,2.100335,2.397411
droso_4840,20.400000000000002,3.0714202,1.8829457,2.724185
droso_4840,20.5,2.6107209,2.0261817,2.617205
droso_4840,20.6,3.089354,2.1889148,2.6439276
droso_4840,20.700000000000003,2.8170335,2.4434934,2.544189
droso_4840,20.8,2.8855588,2.220412,2.3937047
droso_4840,20.900000000000002,2.6839015,2.580893,2.4548726
droso_4840,21.0,2.5913508,2.3921678,2.5563173
droso_4840,21.1,2.4839783,2.8997922,2.5963635
droso_4840,21.200000000000003,2.55195,2.4907458,2.4581976
droso_4840,21.3,2.5618358,2.2399971,2.319862
droso_4840,21.400000000000002,2.343477,2.3284519,2.3867338
droso_4840,21.5,2.5039556,2.444081,2.641677
droso_4840,21.6,2.851289,2.2624435,2.579399
droso_4840,21.700000000000003,3.5162108,2.1446185,3.7137976
droso_4840,21.8,2.983118,1.7322541,3.295969
droso_4840,21.900000000000002,3.2025814,2.4047725,2.9346426
droso_4840,22.0,2.580382,2.1942499,3.2434905
droso_4840,22.1,2.3158474,2.1306205,2.7470174
droso_4840,22.200000000000003,2.5827096,2.1887474,2.158772
droso_4840,22.3,2.766487,2.6039903,2.3785155
droso_4840,22.400000000000002,2.407304,2.55141,2.1131475
droso_4840,22.5,2.136632,2.1879325,2.8731725
droso_4840,22.6,2.9678385,2.0806997,3.1909742
droso_4840,22.700000000000003,2.3476725,2.0693185,3.100491
droso_4840,22.8,2.5220962,2.05264,2.6861632
droso_4840,22.900000000000002,2.1414244,2.657626,2.5668337
droso_4840,23.0,2.2743642,2.6392927,2.8662333
droso_4840,23.1,2.2521195,2.7740414,2.4184103
droso_4840,23.200000000000003,2.3844619,2.673693,2.491101
droso_4840,23.3,2.0945475,2.3960178,2.6316159
droso_4840,23.400000000000002,2.1327963,2.281852,2.9486377
droso_4840,23.5,2.4164593,2.0476296,2.830395
droso_4840,23.6,2.5262659,1.9041729,2.9155626
droso_4840,23.700000000000003,2.3692448,1.9735233,3.5285795
droso_4840,23.8,2.3923068,1.6408623,2.813932
droso_4840,23.900000000000002,2.6189485,1.7631121,2.8497841
droso_4840,24.0,2.4628499,2.0076332,3.0582576
droso_4840,24.1,2.5750523,2.021803,3.00495
droso_4840,24.200000000000003,2.4557295,1.8470379,3.3958402
droso_4840,24.3,1.9675608,2.208228,2.8766348
droso_4840,24.400000000000002,2.0775838,1.8913616,3.2622058
droso_4840,24.5,2.145334,2.0428543,3.403709
droso_4840,24.6,2.2534652,2.1905873,3.2657928
droso_4840,24.700000000000003,2.1177719,2.0174851,3.2065794
droso_4840,24.8,2.4535189,2.4483712,3.0393677
droso_4840,24.900000000000002,2.461051,2.4285178,2.8276148
droso_4840,25.0,2.3953378,2.0808609,2.7498722
droso_4840,25.1,2.354387,2.1997967,3.0357087
droso_4840,25.200000000000003,2.7231846,1.9646785,2.9723792
droso_4840,25.3,2.5124254,1.706919,2.378824
droso_4840,25.400000000000002,2.719328,1.9107867,2.5610797
droso_4840,25.5,2.1508312,1.9784079,2.3470082
droso_4840,25.6,2.5121186,2.1589308,2.3106015
droso_4840,25.700000000000003,2.9907756,2.2720826,2.6208615
droso_4840,25.8,2.5580704,2.2442946,2.8837957
droso_4840,25.900000000000002,2.8860652,2.206915,3.0544436
droso_4840,26.0,2.3171275,2.67685,2.9517093
droso_4840,26.1,2.2329903,2.6606328,3.3704336
droso_4840,26.200000000000003,2.4549038,2.64433,4.123023
droso_4840,26.3,2.629493,2.2556562,4.241567
droso_4840,26.400000000000002,2.3607225,2.056442,4.4608984
droso_4840,26.5,2.7314718,2.0540102,3.853926
droso_4840,26.6,2.1378336,1.878388,4.376286
droso_4840,26.700000000000003,2.2994137,1.9890922,4.437028
droso_4840,26.8,2.285535,2.3399062,4.0066133
droso_4840,26.900000000000002,2.0597181,1.6591532,4.0135274
droso_4840,27.0,2.4594698,1.8656718,4.001046
droso_4840,27.1,2.146061,2.028179,3.1413796
droso_4840,27.200000000000003,2.1250014,2.2620962,3.6682062
droso_4840,27.3,2.2139285,1.956517,3.7197795
droso_4840,27.400000000000002,2.3506017,2.1574206,3.9078782
droso_4840,27.5,2.2268887,2.12227,3.4351985
droso_4840,27.6,2.155366,2.5784326,3.7945848
droso_4840,27.700000000000003,1.5291531,2.3731518,3.9521782
droso_4840,27.8,1.5059968,2.3055317,3.540099
droso_4840,27.900000000000002,1.6346548,2.6574745,4.06994
droso_4840,28.0,1.4928286,2.5518193,4.4648175
droso_4840,28.1,2.220386,2.3244216,4.1825695
droso_4840,28.200000000000003,1.9753236,1.9977841,3.5785475
droso_4840,28.3,1.9767691,2.195003,4.2524276
droso_4840,28.400000000000002,2.5341601,2.4253988,4.056821
droso_4840,28.5,2.3707333,2.1200264,4.278299
droso_4840,28.6,2.3547137,2.0608046,4.2386417
droso_4840,28.700000000000003,2.5481443,2.266971,3.5226438
droso_4840,28.8,2.2157423,2.3967278,3.6206207
droso_4840,28.900000000000002,2.6310067,2.5776343,3.5191946
droso_4840,29.0,2.5158424,2.3047063,3.6339831
droso_4840,29.1,2.4512126,1.8535992,3.445978
droso_4840,29.200000000000003,2.340692,2.2987487,3.2634344
droso_4840,29.3,2.4656916,2.2993467,3.6307082
droso_4840,29.400000000000002,2.4761062,2.2045825,3.6395433
droso_4840,29.5,2.7394607,2.2594075,2.899823
